x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
1.024998,0.044228394,0.1633711,0.58234835,-0.18246228,-0.5726065,-0.8204079,0.4945564,-0.41209885,-0.4930165,-0.7762524,-0.12167674,0.042883813,-0.24963188,-0.74291223,0.03248388,-0.57947755,0.011136585,-0.4252525,0.1623641,-0.20689341,0.33922285,-0.09118928,1.1460035,-0.5531844,-0.64699715,0.4370666,0.9878039,0.77938795,0.19653629,-0.03916536,-0.32214436,-0.3097008,-0.49426126,0.14098644,-0.21222907,0.083805494,-0.29067054,-0.79551613,-0.38394856,-0.9754866,-0.3043575,0.9288341,-0.2166344,0.37409917,0.55205256,0.89226425,0.8331975,-0.31022748,-0.16837384,0.6367517,0.08172389,0.6702149,0.15332127,-0.18486597,0.11944442,0.18743773,-0.27395925,-1.2431251,-0.41409346,0.114588626,0.21393025,-0.27089,-0.04211584,0.24162696,0.5727194,-0.5069847,-0.32658356,-0.039612707,-0.01094092,-0.33638653,0.7300999,-0.7449871,0.7730666,-0.38752654,-0.28349033,0.3782147,-0.28338614,0.09150097,-0.52857184,0.63625675,0.9363731,-0.9956947,-0.0886286,0.4357152,0.30683827,1.1122032,-0.55391103,0.13757806,0.20527396,-0.19145632,0.41656026,-0.688856,-0.26240787,-0.23105033,0.3701684,-0.20333473,0.15789017,-0.13693884,-0.15582556,-0.5286906,0.013778094,-1.0611793,-0.18449149,-0.0318904,0.23077925,-0.38749844,-0.313625,0.58264434,-0.52939993,0.28079936,-0.20990911,0.50978535,0.6252257,0.6603385,0.36348242,0.33151892,-0.5918868,-0.32452768,-0.16763848,0.14266753,-0.6373007,-0.37319198,-0.5362301,-1.0412724,0.5417294,0.29219058,0.1695362
0.26440045,0.17713405,-0.5613464,0.38689294,0.21381743,0.07137738,-0.5807912,0.32168108,-0.17117932,0.22078165,0.45062172,-0.020404788,0.31963062,0.33333567,0.2863835,-0.15300785,0.5068258,0.9956119,0.09620135,0.4344527,0.51791036,-0.34346378,-0.44133177,0.5617825,-0.032991007,-0.10828445,-0.6844356,0.1953685,-0.3026473,-0.10656085,0.5131806,-0.32937643,-0.33371866,0.32027045,-0.15690544,-0.22086848,-0.16257842,0.0011935928,-0.7817135,-0.6006927,0.07546607,0.47670692,0.90427417,-0.35066047,-0.015447168,-0.014561093,0.2837452,-0.25161535,-0.23861548,0.08188853,-0.20310162,-0.30849245,0.46477664,-0.05063335,-0.37168327,0.90256584,-0.15673463,1.0849022,-0.19217367,-0.30369422,-0.4865143,-0.22072195,-0.22809055,-0.4421559,0.5552112,-0.48072335,0.58916104,-0.14370786,-0.7110263,-0.7754685,0.06415538,0.1261269,-0.5165265,0.30993068,0.013925245,-0.13486071,-0.84077966,-0.47017866,-0.60185033,0.29328868,-0.3835172,0.24334913,-0.06828549,0.32505018,-0.086358115,-0.12091632,0.15786646,-0.25078207,0.5608051,-0.38111705,0.2912054,0.4738239,-0.7649267,0.038319726,-0.58462703,0.17322358,0.32783926,0.5978394,-0.2327501,0.5158647,-0.66862595,0.43553588,-0.25499436,-0.5248102,0.013350992,-0.22003573,0.25119013,-0.18962331,0.6328441,-0.14924431,0.30704248,-0.32390562,-0.60930383,-0.3132327,-0.2573538,0.043764498,-0.3786581,-0.50970215,0.04812072,0.038263414,-0.59593713,-0.108562484,0.4342729,-0.8074092,-0.11801236,0.022046154,0.12853652,1.0473381
0.02646472,-0.17912054,-0.20407003,0.8409215,-0.4357856,-0.17770945,0.09878374,-0.049395032,-0.03351336,0.45071867,0.32524022,0.34691045,0.36598358,0.65816087,-0.16926543,0.21756418,0.14747982,0.10285439,-0.17370375,0.15492396,-0.06708671,-0.45869514,-0.089475244,0.25629112,0.4139275,-0.09377059,-0.34167904,-0.22560821,-0.2466643,0.22765474,0.16682762,-0.10505776,-0.09511198,0.1376,-0.58596754,-0.034341086,0.23240624,0.17580764,-0.31211072,-0.078921735,-0.6413824,0.105289765,0.6918585,-0.49919984,0.35000312,-0.30734655,0.5136457,0.14205527,-0.33031994,-0.07986833,-0.100732595,0.73079705,0.09056146,-0.39751592,-0.5271787,0.20656376,-0.7304839,0.30674794,-0.50922984,0.093433894,0.03189019,0.31043962,0.60722476,-0.58236164,-0.2171571,0.45975482,0.38613534,0.088805005,-0.43607166,0.48004317,-0.2863861,0.00040351332,0.032640602,-0.05075216,-0.18188784,0.020256441,-0.5590562,0.045227952,0.015421547,0.09836692,-0.3183734,0.16131194,-0.33083183,0.08890862,-0.19700244,0.6004848,0.19200768,0.10025644,-0.23893526,-0.18706827,-0.22249529,0.0969655,-0.46436924,0.23208132,-0.47164866,0.50163037,0.18966387,-0.017222142,0.35831013,0.3112794,0.0063483124,-0.21195781,0.29046747,-0.4254805,-0.47472298,0.094801,-0.00091303024,-0.051748853,-0.40302435,0.29956466,0.022607831,-0.2775945,-0.6910956,-0.29414406,0.6139639,-0.20670052,-0.6039754,-0.44965553,-0.3828493,0.21146598,-0.053249344,0.039567366,-0.27442858,0.29136807,-0.48861048,0.285628,0.110268086,0.07182868
0.7332499,0.01172481,-0.4949098,0.08446847,-0.3656534,0.06744535,-0.26704904,0.15925384,-0.67317116,-0.38116446,-0.5667616,-0.22895803,-0.010168316,0.32040974,-0.87075776,0.51435673,-0.010033959,0.15564373,-0.019009877,0.27793092,0.022447223,-0.22407879,-1.1670578,0.49597725,0.7074625,0.07198469,0.17476568,0.30859926,-0.18796323,-0.2668296,0.2720464,0.18780777,-0.26857856,0.6057925,-0.11724579,-0.42444983,0.5838631,0.2527293,-0.29593715,-0.1468549,-0.8314945,-0.16024572,0.7787495,-0.7535062,-0.21128985,0.14925084,0.07681978,0.105412126,0.051545564,-0.11627323,-0.37416598,0.59270877,0.519485,-0.43510333,-0.2580467,-0.30923918,-0.5887929,0.87725085,-0.8918241,0.0052990774,0.6088452,-0.23540364,0.23476669,0.37493396,-0.34878665,0.42038015,-0.030078078,0.14507924,-0.32142407,0.29898188,-0.24338414,0.6658672,0.10610803,0.23350446,0.32393906,0.4188736,-0.20087034,-0.0616917,0.58491457,0.40250438,-0.100906156,0.9147173,-0.6439844,-0.17749268,-0.009496213,0.58375365,0.27047047,0.85640734,0.2075531,0.20770863,-0.28939682,0.68862885,-0.82853013,-0.6415723,-0.28009424,0.24158561,-0.2267386,0.018773396,0.50838083,0.03450142,0.22198659,-0.20553209,-0.012748602,-0.44611648,-0.45720643,0.61902297,-0.71371526,-0.18380478,-0.347978,-0.1724994,0.020847665,0.2577825,0.17529315,0.7801075,0.24593927,0.12977074,-0.3151168,-0.6815273,-0.08500522,0.028850326,0.0807327,-0.5995648,0.15127477,0.0012878933,-0.16778629,-0.055680174,0.46977067,-0.3570723
0.10537305,-0.25026172,-0.02814994,0.9298984,-0.40880674,-0.054963507,-0.60547924,-0.10441823,-0.03129887,0.07068725,-0.079295725,0.3297017,-0.106375314,0.0138577605,0.4580469,0.15197688,0.3823562,0.67742884,0.33464828,0.5905345,0.35117847,-0.19211377,-0.76134586,-0.23358922,-0.17007385,0.14572781,-0.5089443,0.14965172,-0.5748815,-0.09092512,0.7584746,-0.12057506,-0.14344743,0.0059829983,0.22135171,0.1989028,-0.14485398,-0.02204978,-0.1327429,0.1183945,-0.8098523,0.07067264,0.5989538,0.13696945,0.3001419,-0.34693712,0.121237725,0.36525166,-0.6612479,-0.6891178,0.0037967192,0.59785813,0.1175008,-0.30774063,0.059898477,0.6252654,-0.5380651,0.667369,-0.3610457,0.26926157,0.13174355,-0.24623808,0.051846147,0.17001545,0.7659584,-0.008004031,0.5677728,0.19722442,-0.64077514,-0.51723105,0.2045128,0.016725319,-0.30109218,0.0035203272,-0.46175048,-0.20773879,0.023068344,0.029696617,-0.37367067,0.23128785,-0.21903667,0.65738267,0.033326548,0.045237377,-0.47213095,0.039223965,-0.26946047,-0.036975686,0.0803146,-0.5127028,0.055045065,0.3029541,-0.6052401,0.04694959,-0.36287007,0.52577275,0.26145974,0.3676895,0.060725212,0.20352395,-0.18097399,-0.18351763,-0.35264045,-0.03406049,-0.5060482,-0.49826637,-0.011321046,0.19617632,0.30655813,-0.27602878,0.34516063,-0.9553486,-0.64065206,-0.41970378,-0.20612366,0.16458441,-0.24952023,-0.10060706,-0.026987124,0.29240167,-0.11805185,0.0056768847,0.012197881,-0.005909659,-0.19998683,0.40309566,-0.059243467,0.70422244
-0.5446064,0.25059065,-0.43699983,0.6562162,0.44464,0.006021303,-0.40064937,-0.71559983,-0.4793512,0.023554156,0.47905952,0.45802233,-0.04086834,0.7308779,0.1528077,0.14733727,-0.16911885,0.10906117,-0.13089862,0.21524364,0.2063611,-0.7821051,-0.6992618,0.18955295,-0.28030652,0.019150909,-0.09951868,0.44005084,-0.025971154,-0.027512636,0.4678741,-0.72698915,-0.75944984,0.13817362,-0.016889215,-0.077778935,-0.22931078,0.07313281,-0.2108051,0.088848695,-0.29551005,-0.28566894,0.16568542,-0.6497373,-0.2418831,0.023720952,-0.1372566,-0.15011644,-0.20729983,-0.39458615,-0.07973612,-0.22926362,-0.16121566,-0.4084846,-0.09588852,0.5365152,-0.29011142,0.8797206,-0.4632687,0.0088205505,-0.34131685,-0.28229365,0.49732357,-0.1564255,-0.69543004,-0.02470065,0.30572388,0.07978637,-0.7458188,0.17143059,0.19439936,0.35273692,-0.9769054,-0.21878378,0.46056858,0.07000932,0.21097295,-0.87758476,-0.17083293,0.6206734,-0.5230423,0.15736406,-0.40708998,0.5881396,-0.27153522,-0.08330416,-0.32948628,0.63431215,-0.11546601,0.10607348,-0.3682807,0.784447,-0.36929613,-0.23217876,0.14504588,0.57410157,-0.73841363,0.27460858,-0.039526045,0.054170664,-0.33663437,0.024320817,-0.73770624,0.07551705,-0.3044475,-0.2589137,0.605125,0.22440791,0.75044173,0.34274554,-0.33338153,-0.6336928,0.32336584,0.032694116,0.19261393,0.3847301,-0.41962957,-0.03684871,-0.033366524,0.34742156,-0.19159271,0.5109047,-0.052251376,-0.29054198,-0.9213978,0.5170293,-0.17581323,-0.1907911
0.14060242,0.006854932,-0.15028258,0.46876028,0.3552612,-0.19089198,-0.2718135,0.049671132,-0.39307195,-0.42302096,0.26147875,0.051388744,-0.52554536,0.57151604,0.057165414,0.4844983,-0.114358984,0.7925104,0.25360575,0.12966956,0.01146582,-0.9790002,-0.46881896,-0.030344944,0.7145273,0.062215213,0.4276391,-0.08801343,0.2103816,-0.94628173,0.25504467,0.3576148,-0.45793554,0.20128617,-0.4189447,0.031772774,0.09327862,-0.32490712,-0.6352976,-0.20856577,-0.6123552,-0.08961969,0.92279947,-0.8496624,0.6959051,0.09410664,-0.4879154,0.76931065,-0.3066617,-0.645734,0.3398389,-0.47431907,0.30195028,-0.35348743,0.2328877,-0.041924767,-0.06246291,0.5737812,-0.50615394,0.11152219,-0.037149332,-0.55674225,-0.58388275,-0.7102545,-0.13325076,-0.43028066,-0.12051649,-0.27843934,-0.043190647,-0.18184002,0.26676026,0.71518034,-0.18406218,0.43799692,0.1588266,-0.14416198,-0.7489232,0.27220482,0.37582666,-0.13595365,-0.060202308,0.49982023,-0.54107994,-0.18282157,-0.31863317,-0.21279193,-0.435927,0.75922996,-0.0639117,-0.27927637,0.26461688,0.1545666,-1.0619868,-0.10857919,-0.63044584,0.41379863,-0.6620174,0.8907785,0.49531174,-0.5736193,-0.68051696,0.19469748,0.0073922654,0.37366492,-0.052038558,-0.04804295,0.48600507,-0.7531173,0.8676362,-0.052148283,0.02332925,0.14472415,-0.39257902,-0.7297973,0.3038064,0.37032378,-0.1913913,-0.7849699,-0.26052946,0.21032268,-0.43717268,-0.18602878,-0.018157115,-0.1768573,0.13284424,-0.08230342,-0.56047994,-0.0028311466
-0.3513321,0.13410583,-0.1825059,0.60391307,0.39035407,0.36581045,-0.22546092,0.31625122,-0.447183,0.19931975,0.22189051,0.0705323,-0.05476876,1.1932521,0.35606584,-0.64810854,-0.56192315,0.88911426,0.1693511,0.7272177,0.51644784,0.0031060595,0.03268978,0.55676305,-0.5368984,-0.24204992,-0.22293009,0.06539582,-0.3416358,-0.09880414,0.1610125,-0.8538736,0.2024624,-0.13282822,-0.05030687,-0.33481687,0.5865427,0.45945612,-0.74247444,0.1214712,-0.5571907,0.1939582,0.91287225,-0.3467213,-0.10739926,-0.14768264,-0.24932931,0.07350802,-0.22828873,-0.2991147,0.1840032,-0.5395779,-0.24743092,0.17606856,-0.30340767,0.7669375,0.19308564,0.6007497,0.114065096,-0.3973677,-0.39744508,-0.06896162,0.37452948,-0.28928062,-0.41971624,0.07810733,-0.40450585,0.55838126,0.41821378,-0.080877304,0.11589427,0.3439642,-0.7734988,0.0936748,-0.09312966,-0.82050526,-0.10406132,-0.65007955,0.013693673,-0.088844776,0.32714918,0.1612636,-0.5033919,-0.004173644,0.3407198,0.21805556,0.005713793,0.14486422,0.026195845,-0.6058781,0.39127102,0.10656168,-0.8502735,0.15424892,-0.4665917,0.1373529,-0.1527935,0.23127347,-0.348245,0.037155397,-0.37827507,0.5562676,-0.12821297,0.28756544,-0.21436219,-0.5718275,0.30126947,-0.09202334,0.2712781,0.68844754,0.43947053,0.076415785,-0.14839035,-0.74610794,-0.26099715,0.34236342,-0.09701128,0.032884467,0.050428327,0.20305242,-0.4816791,-0.2308797,-0.26110697,0.0016517419,-0.69396764,0.4031683,-0.13634479,0.93113637
0.1840979,-0.36233193,-0.14716083,0.5106007,0.36283037,-0.41207573,-0.48865652,0.14964956,-0.68562835,0.004760293,-0.020648088,-0.13248532,0.5078192,0.6597586,-0.069310516,-0.3271251,0.578686,0.3172008,-0.037440456,0.5087493,0.15613131,0.18899848,-0.6131685,0.7139865,0.10635431,0.36143452,0.03710493,0.36815003,-0.91304255,-0.5799817,-0.22649954,-0.5592841,-0.17306234,0.48715726,-0.0719565,0.56772476,0.20611028,-0.3145989,-0.39887366,0.13389592,-1.3204646,0.078999735,0.2714657,-0.3041168,0.03892548,0.21968107,0.05317204,0.35535532,-0.4663048,-0.45623094,0.2765427,0.6421814,0.31545052,0.09011674,-0.0058064642,0.3389332,-0.9231446,0.53645664,-0.74231845,0.2643579,-0.56161344,0.2815194,0.114316486,0.045581378,0.260012,0.2189593,0.32810283,-0.10044254,0.1892177,0.17154345,-0.5324335,-0.12101585,-0.20162435,0.079006545,0.08699026,0.1636785,-0.22482686,-0.17508836,-0.09218975,-0.05685468,-0.11072416,0.8851468,-0.19688857,-0.25500014,0.020389266,0.60576165,0.52419734,-0.21160616,-0.071439564,-0.75265044,-0.13278788,0.050162442,0.027793795,-0.080380596,-0.26551938,0.2234143,-0.43917117,-0.15342428,0.31996128,0.26958296,0.72069776,-0.13069187,0.33866766,0.09192468,-0.39344049,-0.017971069,0.07830653,-0.047860883,0.1138528,0.34937477,-0.554831,-0.10302591,-0.48464286,0.099737436,0.5708756,0.1670857,-0.5495182,0.1596896,-0.3596177,0.8150109,-0.22645323,-0.7168054,-0.120893784,-0.17324276,-0.48306453,0.10993568,-0.50675803,0.23252372
-0.10564575,0.65993184,-0.46797797,0.13424511,-0.015406736,-0.3238509,0.10789558,0.2323484,-0.15392499,-0.07088158,-0.44951725,0.2004737,-0.13238084,0.0299782,0.13831802,-0.10493457,0.028992279,0.5560296,-0.24051395,0.29340872,0.41184887,-0.024787223,-0.30653077,0.30973423,-0.2680871,-0.32254428,0.27282837,-0.4930855,-0.0995934,-0.06791844,0.22023405,0.17254195,0.082381725,0.2595065,-0.0798627,0.3093019,0.2106432,0.058676638,-0.2541396,-0.62494296,-0.3989508,-0.32746124,-0.06428182,-0.91491187,-0.2597981,-0.08719501,0.07846636,0.1130048,0.06324552,-0.5907712,0.32097158,0.38570115,0.25384277,-0.1816586,0.03135627,0.4835544,-0.14810312,0.44296739,-0.8104494,-0.20493001,-0.262008,0.6963465,-0.2790328,-0.36828867,-0.10016109,0.35735294,-0.33887747,-0.0116087925,0.029270554,-0.21635987,-0.024598958,0.81397665,-0.7701734,-0.16144258,0.15896578,-0.27799815,0.17557828,0.097865954,-0.050998487,0.17670834,-0.6323783,-0.08073276,-0.5052972,0.61907727,0.28837588,-0.5205518,0.17355597,0.880711,-0.27281988,-0.015040332,0.29434413,0.14218718,-0.5780743,0.12028314,-0.44413358,0.1075151,-0.152914,0.11158723,-0.22116849,0.06636284,-0.22031778,0.41010302,-0.1239879,-0.29061422,-0.12670738,0.14149457,0.25717306,-0.24965112,0.4124085,0.43491626,-0.23247403,-0.89017534,-0.7859324,-0.724646,0.12727492,0.071950786,-0.024023674,-0.23250364,0.24709116,0.8405757,-0.46401116,0.0027607772,-0.2609887,-0.2122997,-0.12883653,-0.041347988,0.2392282,0.8000754
